EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR171306,8648,,,,"〈:ad perpendiculum〉
〈:textus non legitur〉",Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 272 (M. Della Corte) (1)<br>CIL 04, 08648 (nota) (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR171306 (3)",,,,,
EDR128067,8649,,,,((centuria)) Luccei,Graffito mentioning a centurion?,The century (unit) of Lucceius,,,,,,,,,"Not. Sc., 64, 1939, p. 272, nr. 186 (M. Della Corte) (1)<br>CIL 04, 08649 con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128067 (3)",,,,,
EDR127398,8650,,,,"Numeru(ṣ)
CENTRV+ 
D(ecimus) Iulius 
T(h)rạ[s]o(?)
Sacenio 
loco (?)
habeo 
P(ublius) +Iuilius
Trif̣olio 
C(ai) Flâvi 
libra(ri) 
C(ai) Flav(i) 
librari 
dom̂us
T(iti) Loli (:Lolli)
ạger 
emtu (:emptus) IIXS",List of names,A number of units (centuries). Decimus Iulius (...list of names follows...). Land was bought - 8 1/2.,,,,,,,,,"Not. Sc., 64, 1939, p. 272-73, nr. 187 con apografo (M. Della Corte) (1)<br>CIL 04, 08650 con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127398 (3)",,,,,
EDR128080,8651,,,,ΛVCVLVS,Graffito,??,,,,,,,,,"Not. Sc., 64, 1939, p. 273, nr. 188 (M. Della Corte) (1)<br>CIL 04, 08651 (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128080 (3)",,,,,
EDR128082,8652,,,,((centuria)) Aebuti,Graffito mentioning a centurion?,The century (unit) of Aebutius,,,,,,,,,"Not. Sc., 64, 1939, p. 273, nr. 189 (M. Della Corte) (1)<br>CIL 04, 08652 (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128082 (3)",,,,,
EDR127147,8653,,,,"Eros 
Thymelẹ
",List of names,"Eros, Thymele",,,,,,,,,"Not. Sc., 64, 1939, p. 274, nr. 190 (M. Della Corte) (1)<br>CIL 04, 08653 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 154 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127147 (4)",,,,,
EDR128084,8654,,,,ALO,Initials,ALO,,,,,,,,,"Not. Sc., 64, 1939, p. 274, nr. 190 (M. Della Corte) (1)<br>CIL 04, 08654 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 154 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128084 (4)",,,,,
EDR128276,8655,,,,Licaria (:Ligaria),Graffito,??,,,,,,,,,"Not. Sc., 64, 1939, p. 274, nr. 193 (M. Della Corte) (1)<br>CIL 04, 08655 (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128276 (3)",,,,,
EDR127399,8657,,,,"Ic (:hic) sumus 
felices 
valiamus (:valeamus)  
recte",Prayer,"We are happy here; may we be well, rightly!",,,,,,,,,"Not. Sc., 64, 1939, p. 275, nr. 196 con foto e p. 273 con apografo (M. Della Corte) (1)<br>CIL 04, 08657 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 154 con foto e apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127399 (4)",,,,,
EDR127152,8660,,,,"Pacatus 
hic cum suis 
masit (:mansit) Pompeis",Graffito mentioning travel ,Pacatus stayed here in Pompeii with his (friends),,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 202 (M. Della Corte) (1)<br>CIL 04, 08660 con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127152 (3)",,,,,
EDR128279,8661,,,,"LICA ((:tridens?))
",Drawing of a trident?,(Series of letters) ((:trident)),,,,,,,,,"Not. Sc., 64, 1939, p. 276 (M. Della Corte) (1)<br>CIL 04, 08661 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128279 (4)",,,,,
EDR128055,8662,,,,CHA,Initials?,CHA,,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 204 (M. Della Corte) (1)<br>CIL 04, 08662 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128055 (4)",,,,,
EDR128056,8663,,,,Primus,Graffito naming Primus,Primus,,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 205 (M. Della Corte) (1)<br>CIL 04, 08663 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128056 (3)",,,,,
EDR127579,8664,,,,((centuria)) Semproni,Graffito mentioning a centurion?,The century (unit) of Sempronius,,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 206 (M. Della Corte) (1)<br>CIL 04, 08664 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127579 (4)",,,,,
EDR127578,8665,,,,((centuria)) Tironis̲,Graffito mentioning a centurion?,The century (unit) of Tiro,,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 207 (M. Della Corte) (1)<br>CIL 04, 08665 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 155 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127578 (4)",,,,,
EDR128052,8667,,,,"Q(uintus) Caeicilius (:Caecilius)
Q(uintus) Cae(cilius)
L(ucius) Caẹ(cilius)",List of names,"Quintus Caecilus, Quintus Cae(cilius), Lucius Cae(cilius)",,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 212 (M. Della Corte) (1)<br>CIL 04, 08667 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128052 (3)",,,,,
EDR127572,8668,,,,quicomq(ue) (:quicumque),Graffito,whoever...,,,,,,,,,"ot. Sc., 64, 1939, p. 276, nr. 211 (M. Della Corte) (1)<br>CIL 04, 08668 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127572 (3)",,,,,
EDR127573,8669,,,,Leon,Graffito naming Leon,Leon,,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 213 (M. Della Corte) (1)<br>CIL 04, 08669 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127573 (3)",,,,,
EDR128050,8670,,,,"ic (:hic) abitamus (:habitamus)
felices
nos
dii
faciant",Prayer,"We live here. May the gods make us happy. (Or, May the gods grant that we live here happily.)",,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 215 (M. Della Corte) (1)<br>CIL 04, 08670 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 157 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128050 (4)",,,,,
EDR128049,8671,,,,"〈:columna I, stria 4〉
Leon
Leon
Leon

〈:columna II, stria 5〉
L̲e̲o̲n̲",Graffito naming Leon,"Leon, Leon, Leon, Leon",,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 216-217 (M. Della Corte) (1)<br>CIL 04, 08671 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128049 (3)",,,,,
EDR127576,8673,,,,Magistri,Graffito mentioning teachers,"Teachers (or, of the teacher)",,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 220 (M. Della Corte) (1)<br>CIL 04, 08673 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127576 (3)",,,,,
EDR127577,8674,,,,Postụ(mi),Graffito naming Postumius,"Oh, Postumius",,,,,,,,,"Not. Sc., 64, 1939, p. 277, nr. 221 (M. Della Corte) (1)<br>CIL 04, 08674 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127577 (3)",,,,,
EDR167649,8677,,,,"RV
Rufus
〈:vacat〉Nonio
Felicion̂i",Graffito naming Rufus and Felicio,"RU, Rufus, to Nonius Felicio",,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 225 (M. Della Corte) (1)<br>CIL 04, 08677 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167649 (3)",,,,,
EDR167650,8678,,,,"Pri=
mus",Graffito naming Primus,Primus,,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 226 (M. Della Corte) (1)<br>CIL 04, 08678 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167650 (3)",,,,,
EDR167328,8679,,,,+VSICZ,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 227 (M. Della Corte) (1)<br>CIL 04, 08679 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167328 (3)",,,,,
EDR167324,8680,,,,"〈:columna I=stria 17〉
A
MM
〈:vacat〉
M
M
Mopsus

〈:columna II=stria 20〉
KRVS
V̂a(le)",Graffito naming Mopsus,"(individual letters), Mopsus, (series of letters), bye!",,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 229-231 (M. Della Corte) (1)<br>CIL 04, 08680 (2)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167324	(3)",,,,,
EDR167335,8681,,,,"〈:ad perpendiculum〉
L(ucius) Acutius MA",Graffito naming Acutius,Lucius Acutius MA,,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 232 (M. Della Corte) (1)<br>CIL 04, 08681 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 157, con apografo (3)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167335	(4)",,,,,
EDR167372,8682,,,,"〈:columna I=stria 4〉
QID

〈:columna II=stria 5〉
DA

〈:columna III=stria 6〉
CIΛ
X
A

〈:columna IV=stria 9〉
M
Q̲",Graffito,(Individual letters)  ,,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 233 (M. Della Corte) (1)<br>CIL 04, 08682 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 158, con fotos (3)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167372 (4)",,,,,
EDR167373,8683,,,,"ACP  VI
〈:vacat〉 VII",Graffito,"ACP ""6,"" ""6""",,,,,,,,,"Not. Sc., 64, 1939, p. 279, nr. 234 (M. Della Corte) (1)<br>CIL 04, 08683 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 159, con foto (3)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167373 (4)",,,,,
EDR167392,8684,,,,"L(ucius) Acutius L(ucii) f(ilii)
Vol(tinia) Rufus
Mạg̣[i]ster",Graffito naming Acutius,"Lucius Acutius Rufus, son of Lucius, of the Voltinia voting tribe - official (magister)",,,,,,,,,"Not. Sc., 64, 1939, p. 279, nr. 237, con apografo (M. Della Corte) (1)<br>CIL 04, 08684 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 159 con foto (3)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167392 (4)",,,,,
EDR167393,8685,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 279-280, nr. 237a-238, con apografo (M. Della Corte) (1)<br>CIL 04, 08685 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167393 (3)",,,,,
EDR167403,8687,,,,"〈:retrogradum〉
P(ublius) C((signum))OEIVS",Wordplay?,P. Coelius (written backwards),,,,,,,,,"Not. Sc., 64, 1939, p. 280, nr. 240 (M. Della Corte) (1)<br>CIL 04, 08687 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 159 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167403 (4)",,,,,
EDR167404,8688,,,,"Δε̣ρ̣γ̣ιαχαι
καν̣τρια̣",Graffito in Greek,,,,,,,,,,"Not. Sc., 64, 1939, p. 280, nr. 241 con apografo (M. Della Corte) (1)<br>CIL 04, 08688 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522 con apografo a Luigi Izzo disegnato (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167404 (4)",,,,,
EDR167405,8689,,,,DVD,Initials?,DVD,,,,,,,,,"Not. Sc., 64, 1939, p. 280, nr. 242 (M. Della Corte) (1)<br>CIL 04, 08689 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522, con apografo a Luigi Izzo disegnato (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167405 (4)",,,,,
EDR167406,8690,,,,Hermulus,Graffito naming Hermulus,Hermulus,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 245 (M. Della Corte) (1)<br>CIL 04, 08690 (2)<br>Neuphilol. Mitt., 66, 1965, p. 457 (I. Kajanto) (3)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522, con apografo a Luigi Izzo disegnato (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167406 (5)",,,,,
EDR167407,8691,,,,Ahtus (:Anthus) apais(?) (:ἄπαις),Graffito ,childless(?) Anthus,,,,,,,,,"Not. Sc., 64, 1939, p. 280, nr. 244 (M. Della Corte) (1)<br>CIL 04, 08691 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167407 (3)",,,,,
EDR167408,8692,,,,"E
B",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 246 (M. Della Corte) (1)<br>CIL 04, 08692 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522, con apografo a Luigi Izzo disegnato (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167408 (4)",,,,,
EDR167651,8693,,,,MV,Initials?,MV,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 247 (M. Della Corte) (1)<br>CIL 04, 08693 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I e II, p. 160 e p. 522 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167651 (4)",,,,,
EDR167654,8694,,,,Va(le),Greetings,Bye,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 248 (M. Della Corte) (1)<br>CIL 04, 08694 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 160 e p. 552 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167654 (4)",,,,,
EDR167678,8695,,,,"〈:vacat〉B
Sentius
S",Graffito naming Sentius,"B, Sentius, S",,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 250 (M. Della Corte) (1)<br>CIL 04, 08695 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I e II, p. 160 e 522 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167678 (4)",,,,,
EDR167684,8696,,,,"〈:stria 8〉
Pa(ris) 

〈:stria 9〉
Par(is) 

〈:stria 13〉
Par(is)

〈:striae 15-16〉
Paris va(le)

〈:stria 16-17〉
V+AIS v̂a(le)",Graffito naming Paris,"Paris, Paris, Paris, Paris, bye, (...other letters here...)",,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 251-255  (M. Della Corte) (1)<br>CIL 04, 08696 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 161 con apografo et foto e p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167684 (4)",,,,,
EDR167974,8698,,,,"Vẹṭṭịus 
cu[n]num 
liget (:lingit) Opt=
〈:vacat〉atus (:Optatus)",Insult,,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 258 e p. 280 con apografo (M. Della Corte) (1)<br>CIL 04, 08698 con apografo (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 162 con foto e p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167974 (4)",,,,,
EDR167975,8699,,,,Fortuṇ(atus?),Graffito naming Fortunatus?,Fortun(atus?),,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 259 (M. Della Corte) (1)<br>CIL 04, 08699 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 162 con foto e p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167975 (4)",,,,,
EDR167976,8700,,,,Ɔ Semproni,Graffito mentioning a centurion?,The century (unit) of Sempronius,,,,,,,,,"Not. Sc., 64, 1939, p. 281, nr. 260 (M. Della Corte) (1)<br>CIL 04, 08700 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 162 con foto e p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167976 (4)",,,,,
EDR160168,8701,,,,Si pudor quis,Quotation from Vergil ,If (there is) any modesty . . .,,,,,,,,,"CIL 04, 08701 (1)<br>Epigraphica 2, 1940, p. 173-74, con apografo (M. della Corte) (2)<br>Présence de Virgile. Actes du Colloque des 9, 11, et 12 décembre 1976, Paris 1978, p. 95, 98 (D. Joly) (3)<br>M. Gigante, Civilità della forme letterarie nell'antica Pompei, Naples 1979, p. 167 (4)<br>Ancient Literacies: The Culture of Reading in Greece and Rome, Oxford 2009, p. 317 nr. 62  (K. Milnor) (5)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. II, p. 522, con apografo (6)<br>K. Milnor, Graffiti and the Literary Landscape of Roman Pompeii, Oxford 2014, p. 260, 271 (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR160168 (8)",,,,,
EDR167986,8702,,,,I̲NT̲E̲S,Graffito,(series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 262 (M. Della Corte) (1)<br>CIL 04, 08702 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522, con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167986 (4)",,,,,
EDR167987,8703,,,,"P(ublius) Sittiụs
APPA V",Graffito naming Sittius,Publius Sittius (...other letters here...),,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 263 (M. Della Corte) (1)<br>CIL 04, 08703 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. II, p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167987 (4)",,,,,
EDR167989,8704,,,,Secu(ndus?),Beginning of a name?,Secu(ndus?),,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 264 (M. Della Corte) (1)<br>CIL 04, 08704 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167989 (4)",,,,,
EDR167680,8705,,,,T  S  I,Initials?,TSI,,,,,,,,,"Not. Sc., 64, 1939,  p. 281, nr. 265 (M. Della Corte) (1)<br>CIL 04, 08705 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I-II, p. 162 e p. 522 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167680 (4)",,,,,
EDR167687,8707,,,,"〈:ad perpendiculum〉
+OT",Graffito,?OT,,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 269 (M. Della Corte) (1)<br>CIL 04, 08707 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. II, p. 522 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167687 (4)",,,,,
EDR167990,8708,,,,"Lucilius 
Lucidae
ubique
〈:vacat〉 sal(utem)",Greetings to Lucida,Lucilius gives greetings to Lucida everywhere,,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 270 (M. Della Corte) (1)<br>CIL 04, 08708 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 165 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167990 (4)",,,,,
EDR167991,8709,,,,"R  
XX
XX
XXX",Graffito,"R, ""10"", ""10"", ""30""",,,,,,,,,"Not. Sc., 64, 1939, p. 283, nr. 271 (M. Della Corte) (1)<br>CIL 04, 08709 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 165 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167991 (4)",,,,,
EDR167690,8712,,,,"Sabidia
Abonius",Graffito naming Sabidia,"Sabidia, Abonius",,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 279-280 (M. Della Corte) (1)<br>CIL 04, 08712 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 167 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167690 (4)",,,,,
EDR167691,8713,,,,Quibus,Graffito ,To (or for) whom,,,,,,,,,"Not. Sc., 64, 1939, p. 286, nr. 281 (M. Della Corte) (1)<br>CIL 04, 08713 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 167 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167986 (4)",,,,,
EDR167692,8713,,,,X,Roman numeral,"""10""",,,,,,,,,"Not. Sc., 64, 1939, p. 286, nr. 281 nota (M. Della Corte)<br>CIL 04, 08713 (nota, stria 8, b) (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167692 (3)",,,,,
EDR168185,8713,,,,IIIII,Roman numeral,"""5""",,,,,,,,,"Not. Sc., 64, 1939, p. 286 (M. Della Corte) (1)<br>CIL 04, 08713 (nota) (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 167, con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168185 (4)",,,,,
EDR167694,8714,,,,"〈:stria 14〉
Ṃ̂A 

〈:stria 15〉 
R 

〈:stria 16〉 
E",Graffito,"MA, R, E",,,,,,,,,"Not. Sc., 64, 1939, p. 282, nr. 262 (M. Della Corte) (1)<br>CIL 04, 08714 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 168 con foto e apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167694 (4)",,,,,
EDR167697,8716,,,,〈:ad perpendiculum; textus non legitur〉,Graffito,(Unclear series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 286, nr. 284 e p. 287 con apografo (1)<br>CIL 04, 08716 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR1687697 (3)",,,,,
EDR168026,8718,,,,Nicephor,Graffito naming Nicephor,Nicephor,,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 287 (M. Della Corte) (1)<br>CIL 04, 08718 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 169 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168026 (4)",,,,,
EDR168027,8719,,,,NO〈:vacat〉NI,Graffito,(Series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 288 (M. Della Corte) (1)<br>CIL 04, 08719 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 169 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168027 (4)",,,,,
EDR168028,8720,,,,COR  III,Graffito,"COR ""3""",,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 289 (M. Della Corte) (1)<br>CIL 04, 08720 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II p. 169 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168028 (4)",,,,,
EDR168029,8721,,,,Lucil(ius),Graffito naming Lucilius,Lucil(ius),,,,,,,,,"Not. Sc., 64, 1939, p. 287, nr. 290 (M. Della Corte) (1)<br>CIL 04, 08721 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 170 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168029 (4)",,,,,
EDR168031,8722,,,,Quacumque +VT,Graffito,Wherever . . . ,,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 291 (M. Della Corte) (1)<br>CIL 04, 08722 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 170 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168031 (4)",,,,,
EDR168032,8723,,,,DV+M,Graffito,(Series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 292 (M. Della Corte) (1)<br>CIL 04, 08723 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 170 e p. 523 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168032 (4)",,,,,
EDR168033,8724,,,,"DI+D
",Graffito,(Series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 292 (M. Della Corte) (1)<br>CIL 04, 08724 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 170 e p. 523 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168033 (4)",,,,,
